  0.00437022     0.979099
  0.00560623     0.979683
  0.00722846     0.980279
  0.00922584     0.980851
  0.0118954     0.981448
  0.0163022     0.982188
  0.0200795     0.982678
  0.024607     0.972384
  0.0314064     0.972951
  0.0400847     0.973519
  0.0496248     0.963345
  0.0592894     0.932422
  0.0659729     0.873002
  0.0715686     0.808364
  0.0776407     0.732199
  0.0859643     0.620818
  0.0923168     0.550056
  0.100161     0.446254
  0.110348     0.346445
  0.124707     0.25456
  0.139511     0.184991
  0.156072     0.134434
  0.173714     0.0976935
  0.190414     0.0741897
  0.208723     0.0557233
  0.225317     0.0442219
  0.246976     0.0339547
  0.273496     0.0249479
  0.302864     0.0183303
  0.326942     0.0145469
  0.351144     0.0115442
