  0.0044146     1.0111
  0.00626916     1.0111
  0.00908568     1.0111
  0.0123884     1.0111
  0.0164678     1
  0.0218905     0.989017
  0.0242329     0.967412
  0.0282248     0.945442
  0.0342386     0.88
  0.0411137     0.819727
  0.0496209     0.74217
  0.0595847     0.671952
  0.0694     0.601695
  0.0808323     0.515502
  0.099057     0.422571
  0.118947     0.342588
  0.147255     0.265742
  0.183229     0.206134
  0.217795     0.165282
  0.256265     0.133998
  0.323768     0.100554
  0.392753     0.0788647
  0.466847     0.0639375
  0.535521     0.0535817
  0.601935     0.0454019
  0.704664     0.0380483
  0.776113     0.0333259
